keyword,title,price,image_url,item_url
reloj maserati,Montre ,250.0,https://images1.vinted.net/t/01_025fa_CQbnprCvvQvk79go9gGshsYA/f800/1696864120.jpeg?s=a8811e81f00c57246a4239146a46759992a08688,https://www.vinted.es/items/3586037618-montre
reloj maserati,Orologio Maserati,50.0,https://images1.vinted.net/t/02_00d65_D5q1VcUk5eiMtu5ZUeyanLE3/f800/1696863655.jpeg?s=7567be5be1bc105a06daabb402e9aa391f11e08b,https://www.vinted.es/items/3585994434-orologio-maserati
reloj maserati,Orologio maserati con scatola nuovo,130.0,https://images1.vinted.net/t/02_020f9_dMcYdJZqiVkRBPf7TzRyW4wt/f800/1697102703.jpeg?s=d500c432bad280ac50dbcd6ee7ab948ecc56239d,https://www.vinted.es/items/3597243561-orologio-maserati-con-scatola-nuovo
reloj maserati,Orologio Maserati,90.0,https://images1.vinted.net/t/01_02625_mLSG7SMAYuE2fVhrPjioxbG2/f800/1696860450.jpeg?s=70ecb7fb3c039291323f341fa73b697a9bacf6cf,https://www.vinted.es/items/3585703572-orologio-maserati
reloj maserati,"Montre Maserati, avec étui et notice.",55.0,https://images1.vinted.net/t/02_018c8_EThPnmbb3RB6iBFCmyPYcqSh/f800/1696852739.jpeg?s=ff0da583ba18805b569813451a6dcd1d0d26ebcc,https://www.vinted.es/items/3584965336-montre-maserati-avec-etui-et-notice
reloj maserati,Relógio Automático Maserati - R8823118001,250.0,https://images1.vinted.net/t/03_01b5e_ZFRVkhBYqZLiq6FuYrt88RAG/f800/1696851297.jpeg?s=fa18828751078e0f7f15f4c03165de1a4fdd2491,https://www.vinted.es/items/3584833240-relogio-automatico-maserati-r8823118001
reloj maserati,Relógio Maserati - R8873638002,130.0,https://images1.vinted.net/t/02_00f25_BMVCmYkWMcsY8tgPM69e8FG8/f800/1697025016.jpeg?s=fb34e533b1a9cbc277964bc9c9c743efb6b0f1da,https://www.vinted.es/items/3593671150-relogio-maserati-r8873638002
reloj maserati,Orologio Maserati ,100.0,https://images1.vinted.net/t/01_02502_VUsLeViEGRYifwKQXzNJ7dA8/f800/1696850667.jpeg?s=e0a70d3456732351d0d37ef39eda2a938e062f12,https://www.vinted.es/items/3584775922-orologio-maserati
reloj maserati,orologio maserati ,100.0,https://images1.vinted.net/t/01_0159f_JhrK6VLpkrgjhC47MrJNrN2y/f800/1696848766.jpeg?s=2b2f3036aa858abaabc152b7f7e68f3e2e619bee,https://www.vinted.es/items/3584609594-orologio-maserati
reloj maserati,Orologio uomo Maserati,80.0,https://images1.vinted.net/t/03_006bf_qhzV5z8BJHGcaqC1Zgx9Wv8K/f800/1696847811.jpeg?s=01fa91fff5155353c805190de043e6c69ac30d40,https://www.vinted.es/items/3584527250-orologio-uomo-maserati
